plot_key,scenario,cohort,size_mib,parallel,scheme,baseline,absolute_cct_us,absolute_cct_ms,normalized_cct,seed_values_us
healthy:1024:8:sglb,healthy_alltoall_1024mib_p8,healthy,1024,8,sglb,mrc,29909.0341072,29.9090341072,1.06441109943,13:30262;29:29570.6;47:29898.5
healthy:256:16:mrc,healthy_alltoall_256mib_p16,healthy,256,16,mrc,mrc,6842.44839639,6.84244839639,1,13:7143.15;29:6605.53;47:6789.49
healthy:256:16:n-mrc,healthy_alltoall_256mib_p16,healthy,256,16,n-mrc,mrc,6980.9187954,6.9809187954,1.02023696651,13:6918.54;29:7126.28;47:6900.18
healthy:256:16:ops,healthy_alltoall_256mib_p16,healthy,256,16,ops,mrc,7695.13090675,7.69513090675,1.12461657889,13:8282.26;29:7215.77;47:7624.59
healthy:256:16:reps,healthy_alltoall_256mib_p16,healthy,256,16,reps,mrc,7721.78417122,7.72178417122,1.12851186065,13:7922.14;29:7168.2;47:8107.75
healthy:256:16:sglb,healthy_alltoall_256mib_p16,healthy,256,16,sglb,mrc,7486.72227037,7.48672227037,1.09415838259,13:7095.25;29:7665.74;47:7715.31
healthy:256:4:mrc,healthy_alltoall_256mib_p4,healthy,256,4,mrc,mrc,9081.08463525,9.08108463525,1,13:8886.1;29:9466.31;47:8902.69
healthy:256:4:n-mrc,healthy_alltoall_256mib_p4,healthy,256,4,n-mrc,mrc,10562.9382253,10.5629382253,1.16318024219,13:11343.4;29:10242.4;47:10144
healthy:256:4:ops,healthy_alltoall_256mib_p4,healthy,256,4,ops,mrc,11984.9306499,11.9849306499,1.31976863242,13:12172.8;29:12309.1;47:11489.2
healthy:256:4:reps,healthy_alltoall_256mib_p4,healthy,256,4,reps,mrc,10734.9663368,10.7349663368,1.18212380657,13:10141.7;29:11198.6;47:10892.5
healthy:256:4:sglb,healthy_alltoall_256mib_p4,healthy,256,4,sglb,mrc,10236.264243,10.236264243,1.12720722845,13:11023.9;29:9793.52;47:9934.6
healthy:256:8:mrc,healthy_alltoall_256mib_p8,healthy,256,8,mrc,mrc,8424.36504702,8.42436504702,1,13:8415.52;29:8862.01;47:8016.75
healthy:256:8:n-mrc,healthy_alltoall_256mib_p8,healthy,256,8,n-mrc,mrc,8638.68492652,8.63868492652,1.0254404787,13:8862.67;29:8656.79;47:8402.75
healthy:256:8:ops,healthy_alltoall_256mib_p8,healthy,256,8,ops,mrc,8855.76753068,8.85576753068,1.05120890195,13:9006.38;29:9377.84;47:8222.91
healthy:256:8:reps,healthy_alltoall_256mib_p8,healthy,256,8,reps,mrc,8686.68600041,8.68668600041,1.03113836496,13:8726.46;29:8148.5;47:9218.21
healthy:256:8:sglb,healthy_alltoall_256mib_p8,healthy,256,8,sglb,mrc,8451.94176502,8.45194176502,1.00327344765,13:8501.62;29:8439.11;47:8415.33
healthy:64:16:mrc,healthy_alltoall_64mib_p16,healthy,64,16,mrc,mrc,1734.95302402,1.73495302402,1,13:1729.43;29:1728.64;47:1746.85
healthy:64:16:n-mrc,healthy_alltoall_64mib_p16,healthy,64,16,n-mrc,mrc,1798.73293061,1.79873293061,1.03676174842,13:1813.41;29:1814.85;47:1768.33
healthy:64:16:ops,healthy_alltoall_64mib_p16,healthy,64,16,ops,mrc,1812.93304203,1.81293304203,1.04494647228,13:1801.39;29:1849.91;47:1788.08
healthy:64:16:reps,healthy_alltoall_64mib_p16,healthy,64,16,reps,mrc,1807.22079057,1.80722079057,1.04165401918,13:1823.7;29:1805.86;47:1792.24
healthy:64:16:sglb,healthy_alltoall_64mib_p16,healthy,64,16,sglb,mrc,1922.61722059,1.92261722059,1.10816673072,13:1951.01;29:1899.06;47:1918.14
healthy:64:4:mrc,healthy_alltoall_64mib_p4,healthy,64,4,mrc,mrc,2254.89450486,2.25489450486,1,13:2388.88;29:2238.92;47:2143.61
healthy:64:4:n-mrc,healthy_alltoall_64mib_p4,healthy,64,4,n-mrc,mrc,2306.47825289,2.30647825289,1.02287634651,13:2158.72;29:2367.65;47:2400.68
healthy:64:4:ops,healthy_alltoall_64mib_p4,healthy,64,4,ops,mrc,2996.68170913,2.99668170913,1.32896758703,13:3072.94;29:3148.38;47:2781.51
healthy:64:4:reps,healthy_alltoall_64mib_p4,healthy,64,4,reps,mrc,2455.59786332,2.45559786332,1.08900787067,13:2185.35;29:2520.88;47:2687.81
healthy:64:4:sglb,healthy_alltoall_64mib_p4,healthy,64,4,sglb,mrc,2332.81860204,2.33281860204,1.03455775736,13:2122.35;29:2563.52;47:2333.4
healthy:64:8:mrc,healthy_alltoall_64mib_p8,healthy,64,8,mrc,mrc,1710.52507157,1.71052507157,1,13:1708.2;29:1726.81;47:1696.7
healthy:64:8:n-mrc,healthy_alltoall_64mib_p8,healthy,64,8,n-mrc,mrc,1842.96633934,1.84296633934,1.07742725902,13:1812.98;29:1858.36;47:1857.93
healthy:64:8:ops,healthy_alltoall_64mib_p8,healthy,64,8,ops,mrc,1913.57491495,1.91357491495,1.11870614863,13:1929.75;29:1868.27;47:1943.55
healthy:64:8:reps,healthy_alltoall_64mib_p8,healthy,64,8,reps,mrc,1777.68022823,1.77768022823,1.03925996629,13:1788.92;29:1768.75;47:1775.43
healthy:64:8:sglb,healthy_alltoall_64mib_p8,healthy,64,8,sglb,mrc,1854.50949683,1.85450949683,1.08417557138,13:1828.36;29:1843;47:1892.78
