scenario,parallel,panel,scheme,seed,time_us,spine_id,value_raw,value_display,window_end_us,unit
asymmetric_alltoall_background_256mib_p8,8,mean_queue_fraction,ops,13,270,,0.183803154453,0.183803154453,11334,fraction
asymmetric_alltoall_background_256mib_p8,8,utilization_cv,ops,13,280,,0.0275798680262,0.0281857967848,11334,cv
asymmetric_alltoall_background_256mib_p8,8,mean_queue_fraction,ops,13,280,,0.200567796933,0.200567796933,11334,fraction
asymmetric_alltoall_background_256mib_p8,8,utilization_cv,ops,13,290,,0.0276387384994,0.0281857967848,11334,cv
asymmetric_alltoall_background_256mib_p8,8,mean_queue_fraction,ops,13,290,,0.210611841526,0.210611841526,11334,fraction
asymmetric_alltoall_background_256mib_p8,8,utilization_cv,ops,13,300,,0.0287992955841,0.0276387384994,11334,cv
asymmetric_alltoall_background_256mib_p8,8,mean_queue_fraction,ops,13,300,,0.213457436213,0.213457436213,11334,fraction
asymmetric_alltoall_background_256mib_p8,8,utilization_cv,ops,13,310,,0.0287647972722,0.0276387384994,11334,cv
asymmetric_alltoall_background_256mib_p8,8,mean_queue_fraction,ops,13,310,,0.220290863585,0.217140243142,11334,fraction
asymmetric_alltoall_background_256mib_p8,8,utilization_cv,ops,13,320,,0.0260546436345,0.0260546436345,11334,cv
asymmetric_alltoall_background_256mib_p8,8,mean_queue_fraction,ops,13,320,,0.223804562591,0.217140243142,11334,fraction
asymmetric_alltoall_background_256mib_p8,8,utilization_cv,ops,13,330,,0.0224128957792,0.0224128957792,11334,cv
asymmetric_alltoall_background_256mib_p8,8,mean_queue_fraction,ops,13,330,,0.217140243142,0.217140243142,11334,fraction
asymmetric_alltoall_background_256mib_p8,8,utilization_cv,ops,13,340,,0.0188195510566,0.0188764177294,11334,cv
asymmetric_alltoall_background_256mib_p8,8,mean_queue_fraction,ops,13,340,,0.207923598917,0.207923598917,11334,fraction
asymmetric_alltoall_background_256mib_p8,8,utilization_cv,ops,13,350,,0.0174385481423,0.0188764177294,11334,cv
asymmetric_alltoall_background_256mib_p8,8,mean_queue_fraction,ops,13,350,,0.192064407703,0.192064407703,11334,fraction
asymmetric_alltoall_background_256mib_p8,8,utilization_cv,ops,13,360,,0.0188764177294,0.0188764177294,11334,cv
asymmetric_alltoall_background_256mib_p8,8,mean_queue_fraction,ops,13,360,,0.169768350291,0.169768350291,11334,fraction
asymmetric_alltoall_background_256mib_p8,8,utilization_cv,ops,13,370,,0.0213219376644,0.0213219376644,11334,cv
asymmetric_alltoall_background_256mib_p8,8,mean_queue_fraction,ops,13,370,,0.167413884943,0.167413884943,11334,fraction
asymmetric_alltoall_background_256mib_p8,8,utilization_cv,ops,13,380,,0.0319064814838,0.0319064814838,11334,cv
asymmetric_alltoall_background_256mib_p8,8,mean_queue_fraction,ops,13,380,,0.165235612609,0.165235612609,11334,fraction
asymmetric_alltoall_background_256mib_p8,8,utilization_cv,ops,13,390,,0.0404907374914,0.036331638971,11334,cv
asymmetric_alltoall_background_256mib_p8,8,mean_queue_fraction,ops,13,390,,0.160205414346,0.160205414346,11334,fraction
asymmetric_alltoall_background_256mib_p8,8,utilization_cv,ops,13,400,,0.0428637712315,0.039662913448,11334,cv
asymmetric_alltoall_background_256mib_p8,8,mean_queue_fraction,ops,13,400,,0.15957888236,0.15957888236,11334,fraction
asymmetric_alltoall_background_256mib_p8,8,utilization_cv,ops,13,410,,0.036331638971,0.0404907374914,11334,cv
