scenario,scheme,time_us,bytes_delta_raw,utilization_cv_raw,mean_queue_fraction_raw,utilization_cv_rolling_median,mean_queue_fraction_rolling_median,in_valid_business_range
asymmetric_p2p_tornado_16mib,mrc,126,23879168,0.00826810860211,0.0232387808866,0.0083430004446,0.0237519020258,1
asymmetric_p2p_tornado_16mib,mrc,128,23670080,0.00784296175104,0.0233324627544,0.00851595860975,0.0238299702489,1
asymmetric_p2p_tornado_16mib,mrc,130,23615296,0.00851595860975,0.0242075365643,0.00851595860975,0.0234609204669,1
asymmetric_p2p_tornado_16mib,mrc,132,23834048,0.00870141279016,0.0246738167696,0.00869634689124,0.0235659577126,1
asymmetric_p2p_tornado_16mib,mrc,134,23770112,0.00869634689124,0.0234609204669,0.00869634689124,0.0235695062682,1
asymmetric_p2p_tornado_16mib,mrc,136,23708032,0.00870894712073,0.0235659577126,0.00870141279016,0.0235695062682,1
asymmetric_p2p_tornado_16mib,mrc,138,23668800,0.00799299114726,0.0235695062682,0.00870894712073,0.0235695062682,1
asymmetric_p2p_tornado_16mib,mrc,140,23766336,0.00887463610928,0.0240357864735,0.00870894712073,0.0235695062682,1
asymmetric_p2p_tornado_16mib,mrc,142,23787840,0.00936616999346,0.0236525424691,0.00853932359881,0.0235695062682,1
asymmetric_p2p_tornado_16mib,mrc,144,23665408,0.0082651845853,0.0230535462845,0.00880046836877,0.0236525424691,1
asymmetric_p2p_tornado_16mib,mrc,146,23744000,0.00853932359881,0.0228697311047,0.00880046836877,0.0236525424691,1
asymmetric_p2p_tornado_16mib,mrc,148,23614656,0.00880046836877,0.0238093886265,0.00880046836877,0.0231053551962,1
asymmetric_p2p_tornado_16mib,mrc,150,23806016,0.00905193263224,0.0237107387809,0.00880046836877,0.0231053551962,1
asymmetric_p2p_tornado_16mib,mrc,152,23559424,0.00903050508745,0.0231053551962,0.00903050508745,0.0231954885084,1
asymmetric_p2p_tornado_16mib,mrc,154,23752448,0.00846688780585,0.0229066360828,0.00905193263224,0.0231954885084,1
asymmetric_p2p_tornado_16mib,mrc,156,23714496,0.00910410530206,0.0231954885084,0.00904573278773,0.0231954885084,1
asymmetric_p2p_tornado_16mib,mrc,158,23694272,0.0094000592951,0.0232359420422,0.00910410530206,0.0231954885084,1
asymmetric_p2p_tornado_16mib,mrc,160,23499904,0.00904573278773,0.0231983273528,0.00910410530206,0.0231954885084,1
asymmetric_p2p_tornado_16mib,mrc,162,23772864,0.00920481772487,0.02305070744,0.00920481772487,0.0231983273528,1
asymmetric_p2p_tornado_16mib,mrc,164,23790528,0.00897660431968,0.0228257290153,0.00920481772487,0.0231983273528,1
asymmetric_p2p_tornado_16mib,mrc,166,23478400,0.00922331057816,0.0235695062682,0.00920481772487,0.02305070744,1
asymmetric_p2p_tornado_16mib,mrc,168,23648768,0.0100426626726,0.023330333621,0.00908255065942,0.0229165720385,1
asymmetric_p2p_tornado_16mib,mrc,170,23687744,0.00905507128372,0.0228612145712,0.00922331057816,0.0229165720385,1
asymmetric_p2p_tornado_16mib,mrc,172,23710400,0.00908255065942,0.0229165720385,0.00942490454757,0.0229165720385,1
asymmetric_p2p_tornado_16mib,mrc,174,23602560,0.00942490454757,0.0228576660156,0.00908255065942,0.0229165720385,1
asymmetric_p2p_tornado_16mib,mrc,176,23587776,0.0103276453292,0.0233345918877,0.00942490454757,0.0230173510174,1
asymmetric_p2p_tornado_16mib,mrc,178,23522432,0.00898990498015,0.0234311125999,0.00942490454757,0.0230173510174,1
asymmetric_p2p_tornado_16mib,mrc,180,23848960,0.00970179102683,0.0230173510174,0.0093184944788,0.0231124523074,1
asymmetric_p2p_tornado_16mib,mrc,182,23627648,0.0093184944788,0.0228668922602,0.0093184944788,0.0230173510174,1
asymmetric_p2p_tornado_16mib,mrc,184,23404608,0.00918116814676,0.0231124523074,0.00934845033676,0.0228668922602,1
asymmetric_p2p_tornado_16mib,mrc,186,23775552,0.00973225367203,0.0223509322765,0.0093184944788,0.0223509322765,1
asymmetric_p2p_tornado_16mib,mrc,188,23772928,0.00934845033676,0.0220422079397,0.00934845033676,0.0223509322765,1
