figure,panel,scenario,column_key,column_label,family,traffic,size_mib,websearch_load_pct,parallel,degraded,periodic_background,scheme,metric,geomean_us,baseline_us,ratio,seed_count,baseline_schemes
p2p,Healthy,healthy_p2p_websearch_80pct,websearch_80pct,"WebSearch
80%",healthy_p2p,websearch,0,80,0,0,0,ops,p99_fct_us,4138.391892933757,3804.222017068426,1.087841843711016,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_websearch_80pct,websearch_80pct,"WebSearch
80%",healthy_p2p,websearch,0,80,0,0,0,reps,p99_fct_us,3804.222017068426,3804.222017068426,1.0,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_websearch_80pct,websearch_80pct,"WebSearch
80%",healthy_p2p,websearch,0,80,0,0,0,mrc,p99_fct_us,3827.6892041453552,3804.222017068426,1.006168721744325,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_websearch_80pct,websearch_80pct,"WebSearch
80%",healthy_p2p,websearch,0,80,0,0,0,sglb,p99_fct_us,3840.1651538970123,3804.222017068426,1.0094482227029127,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_websearch_80pct,websearch_80pct,"WebSearch
80%",healthy_p2p,websearch,0,80,0,0,0,n-mrc,p99_fct_us,3994.877655085312,3804.222017068426,1.0501168536330083,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_websearch_100pct,websearch_100pct,"WebSearch
100%",healthy_p2p,websearch,0,100,0,0,0,ecmp,p99_fct_us,7468.734777435679,6629.069550126234,1.126664114919937,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_websearch_100pct,websearch_100pct,"WebSearch
100%",healthy_p2p,websearch,0,100,0,0,0,ops,p99_fct_us,6887.548272278045,6629.069550126234,1.0389917046724737,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_websearch_100pct,websearch_100pct,"WebSearch
100%",healthy_p2p,websearch,0,100,0,0,0,reps,p99_fct_us,6629.069550126234,6629.069550126234,1.0,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_websearch_100pct,websearch_100pct,"WebSearch
100%",healthy_p2p,websearch,0,100,0,0,0,mrc,p99_fct_us,6642.016465760279,6629.069550126234,1.0019530517120308,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_websearch_100pct,websearch_100pct,"WebSearch
100%",healthy_p2p,websearch,0,100,0,0,0,sglb,p99_fct_us,6647.017016570531,6629.069550126234,1.0027073884665993,3,ops;reps;mrc;sglb;ecmp
p2p,Healthy,healthy_p2p_websearch_100pct,websearch_100pct,"WebSearch
100%",healthy_p2p,websearch,0,100,0,0,0,n-mrc,p99_fct_us,8029.471270501152,6629.069550126234,1.2112516258557358,3,ops;reps;mrc;sglb;ecmp
