asset_id,original_path,class,topology,schemes,seeds,sample_scale,runner,source_ref,manifest,summary,report,status,cleanup_action,bytes_before
nmrc_graded_selective_cooldown_p4_seed13_20260725,experiments/n-mrc/output/nmrc_graded_selective_cooldown_p4_seed13_20260725,historical,128/8,,,,,historical-local,experiments/n-mrc/output/nmrc_graded_selective_cooldown_p4_seed13_20260725/manifest.json,experiments/n-mrc/output/nmrc_graded_selective_cooldown_p4_seed13_20260725/results.csv,,present,retain-historical-until-reviewed,3286827
nmrc_nmrc4_three_seed_comparison_20260722,experiments/n-mrc/output/nmrc_nmrc4_three_seed_comparison_20260722,historical,,,,,,historical-local,,,experiments/n-mrc/output/nmrc_nmrc4_three_seed_comparison_20260722/README.md,present,retain-historical-until-reviewed,934579
nmrc_routing_cooldown_seed13_20260726,experiments/n-mrc/output/nmrc_routing_cooldown_seed13_20260726,historical,128/8,,,,,historical-local,experiments/n-mrc/output/nmrc_routing_cooldown_seed13_20260726/manifest.json,experiments/n-mrc/output/nmrc_routing_cooldown_seed13_20260726/results.csv,,present,retain-historical-until-reviewed,133686547
no_websearch100,experiments/n-mrc/output/no_websearch100,historical,,,,,,historical-local,,,,present,retain-historical-until-reviewed,228675174
rr_stateless_mrc_healthy_seed13,experiments/n-mrc/output/rr_stateless_mrc_healthy_seed13,historical,,,,,,historical-local,,,,present,retain-historical-until-reviewed,8056
sglb_change_triggered_gcn_a2a_128_2seed,experiments/n-mrc/output/sglb_change_triggered_gcn_a2a_128_2seed,historical,128/64,sglb_new|sglb_old,13|29,,,historical-local,experiments/n-mrc/output/sglb_change_triggered_gcn_a2a_128_2seed/manifest.json,experiments/n-mrc/output/sglb_change_triggered_gcn_a2a_128_2seed/results.csv,experiments/n-mrc/output/sglb_change_triggered_gcn_a2a_128_2seed/report.md,present,retain-historical-until-reviewed,20008815
sglb_change_triggered_six_128_2seed,experiments/n-mrc/output/sglb_change_triggered_six_128_2seed,historical,128/64,,13|29,,,historical-local,experiments/n-mrc/output/sglb_change_triggered_six_128_2seed/manifest.json,experiments/n-mrc/output/sglb_change_triggered_six_128_2seed/summary.csv,experiments/n-mrc/output/sglb_change_triggered_six_128_2seed/report.md,present,retain-historical-until-reviewed,15581631
sglb_exact_min24_rr_vs_random_seed13,experiments/n-mrc/output/sglb_exact_min24_rr_vs_random_seed13,historical,,,,,,historical-local,,experiments/n-mrc/output/sglb_exact_min24_rr_vs_random_seed13/results.csv,experiments/n-mrc/output/sglb_exact_min24_rr_vs_random_seed13/report.md,present,retain-historical-until-reviewed,45581644
sglb_exact_min24_vs_old_representative_seed13,experiments/n-mrc/output/sglb_exact_min24_vs_old_representative_seed13,historical,,,,,,historical-local,,experiments/n-mrc/output/sglb_exact_min24_vs_old_representative_seed13/results.csv,experiments/n-mrc/output/sglb_exact_min24_vs_old_representative_seed13/report.md,present,retain-historical-until-reviewed,62575589
sglb_exact_min_choices_a2a_seed29,experiments/n-mrc/output/sglb_exact_min_choices_a2a_seed29,historical,,,,,,historical-local,,experiments/n-mrc/output/sglb_exact_min_choices_a2a_seed29/results.csv,experiments/n-mrc/output/sglb_exact_min_choices_a2a_seed29/report.md,present,retain-historical-until-reviewed,37725865
sglb_min_choices_a2a_seed29,experiments/n-mrc/output/sglb_min_choices_a2a_seed29,historical,,,,,,historical-local,,experiments/n-mrc/output/sglb_min_choices_a2a_seed29/results.csv,experiments/n-mrc/output/sglb_min_choices_a2a_seed29/report.md,present,retain-historical-until-reviewed,56587164
sglb_new_old_cadence_a2a_seed29,experiments/n-mrc/output/sglb_new_old_cadence_a2a_seed29,historical,,,,,,historical-local,,experiments/n-mrc/output/sglb_new_old_cadence_a2a_seed29/results.csv,experiments/n-mrc/output/sglb_new_old_cadence_a2a_seed29/report.md,present,retain-historical-until-reviewed,56595026
