scenario,variant,seed,profile,level_changes,paired_reversals,all_zero_profiles,all_zero_selections
full_global_p16_256mib_background_off,grade_sensitive,47,stor,409360,126002,161,3153
full_global_p16_256mib_background_off,grade_sensitive,47,netaware,0,0,0,0
full_global_p16_256mib_background_off,grade_sharp,13,stor,457664,133047,5915,172483
full_global_p16_256mib_background_off,grade_sharp,13,netaware,0,0,0,0
full_global_p16_256mib_background_off,grade_sharp,29,stor,464798,136316,6140,182588
full_global_p16_256mib_background_off,grade_sharp,29,netaware,0,0,0,0
full_global_p16_256mib_background_off,grade_sharp,47,stor,458766,134038,5788,174569
full_global_p16_256mib_background_off,grade_sharp,47,netaware,0,0,0,0
full_global_p16_256mib_background_off,netaware_default_off,13,stor,0,0,0,0
full_global_p16_256mib_background_off,netaware_default_off,13,netaware,582812,253129,49,1635
full_global_p16_256mib_background_off,netaware_default_off,29,stor,0,0,0,0
full_global_p16_256mib_background_off,netaware_default_off,29,netaware,647718,281900,43,1015
full_global_p16_256mib_background_off,netaware_default_off,47,stor,0,0,0,0
full_global_p16_256mib_background_off,netaware_default_off,47,netaware,669458,291063,52,1231
full_global_p16_256mib_background_off,netaware_equal,13,stor,0,0,0,0
full_global_p16_256mib_background_off,netaware_equal,13,netaware,346965,145434,272,23123
full_global_p16_256mib_background_off,netaware_equal,29,stor,0,0,0,0
full_global_p16_256mib_background_off,netaware_equal,29,netaware,412239,175779,225,6320
full_global_p16_256mib_background_off,netaware_equal,47,stor,0,0,0,0
full_global_p16_256mib_background_off,netaware_equal,47,netaware,392509,165918,275,17257
full_global_p16_256mib_background_off,netaware_gentle,13,stor,0,0,0,0
full_global_p16_256mib_background_off,netaware_gentle,13,netaware,498068,214786,194,6186
full_global_p16_256mib_background_off,netaware_gentle,29,stor,0,0,0,0
full_global_p16_256mib_background_off,netaware_gentle,29,netaware,460150,199598,93,3652
full_global_p16_256mib_background_off,netaware_gentle,47,stor,0,0,0,0
full_global_p16_256mib_background_off,netaware_gentle,47,netaware,450216,193677,145,7193
full_global_p16_256mib_background_off,netaware_goodcap,13,stor,0,0,0,0
full_global_p16_256mib_background_off,netaware_goodcap,13,netaware,420362,197706,82,2157
full_global_p16_256mib_background_off,netaware_goodcap,29,stor,0,0,0,0
full_global_p16_256mib_background_off,netaware_goodcap,29,netaware,535235,252274,180,6547
full_global_p16_256mib_background_off,netaware_goodcap,47,stor,0,0,0,0
full_global_p16_256mib_background_off,netaware_goodcap,47,netaware,420620,198225,84,2913
full_global_p16_256mib_background_off,netaware_sharp,13,stor,0,0,0,0
full_global_p16_256mib_background_off,netaware_sharp,13,netaware,722743,321281,16,284
full_global_p16_256mib_background_off,netaware_sharp,29,stor,0,0,0,0
full_global_p16_256mib_background_off,netaware_sharp,29,netaware,680006,301773,10,281
full_global_p16_256mib_background_off,netaware_sharp,47,stor,0,0,0,0
full_global_p16_256mib_background_off,netaware_sharp,47,netaware,680020,300594,26,720
full_global_p4_64mib_background_off,avail_ecn_only,13,stor,57496,28748,197,10333
full_global_p4_64mib_background_off,avail_ecn_only,13,netaware,0,0,0,0
full_global_p4_64mib_background_off,avail_ecn_only,29,stor,64908,32454,240,13476
full_global_p4_64mib_background_off,avail_ecn_only,29,netaware,0,0,0,0
full_global_p4_64mib_background_off,avail_ecn_only,47,stor,60132,30066,204,10830
full_global_p4_64mib_background_off,avail_ecn_only,47,netaware,0,0,0,0
full_global_p4_64mib_background_off,avail_hybrid,13,stor,127456,63724,726,25481
full_global_p4_64mib_background_off,avail_hybrid,13,netaware,0,0,0,0
full_global_p4_64mib_background_off,avail_hybrid,29,stor,126712,63356,606,20185
full_global_p4_64mib_background_off,avail_hybrid,29,netaware,0,0,0,0
full_global_p4_64mib_background_off,avail_hybrid,47,stor,125454,62726,615,21877
full_global_p4_64mib_background_off,avail_hybrid,47,netaware,0,0,0,0
full_global_p4_64mib_background_off,avail_packet,13,stor,135846,67918,1749,79139
full_global_p4_64mib_background_off,avail_packet,13,netaware,0,0,0,0
full_global_p4_64mib_background_off,avail_packet,29,stor,138458,69228,1753,77952
full_global_p4_64mib_background_off,avail_packet,29,netaware,0,0,0,0
full_global_p4_64mib_background_off,avail_packet,47,stor,133995,66993,1537,74265
full_global_p4_64mib_background_off,avail_packet,47,netaware,0,0,0,0
full_global_p4_64mib_background_off,avail_time,13,stor,135846,67918,1749,79139
full_global_p4_64mib_background_off,avail_time,13,netaware,0,0,0,0
full_global_p4_64mib_background_off,avail_time,29,stor,138458,69228,1753,77952
full_global_p4_64mib_background_off,avail_time,29,netaware,0,0,0,0
full_global_p4_64mib_background_off,avail_time,47,stor,133995,66993,1537,74265
full_global_p4_64mib_background_off,avail_time,47,netaware,0,0,0,0
full_global_p4_64mib_background_off,grade_conservative,13,stor,110138,42202,224,6608
full_global_p4_64mib_background_off,grade_conservative,13,netaware,0,0,0,0
full_global_p4_64mib_background_off,grade_conservative,29,stor,111493,41645,258,8352
full_global_p4_64mib_background_off,grade_conservative,29,netaware,0,0,0,0
full_global_p4_64mib_background_off,grade_conservative,47,stor,109043,41094,270,8152
full_global_p4_64mib_background_off,grade_conservative,47,netaware,0,0,0,0
full_global_p4_64mib_background_off,grade_default,13,stor,104433,35660,2048,113413
full_global_p4_64mib_background_off,grade_default,13,netaware,0,0,0,0
full_global_p4_64mib_background_off,grade_default,29,stor,104715,35780,1980,108667
full_global_p4_64mib_background_off,grade_default,29,netaware,0,0,0,0
full_global_p4_64mib_background_off,grade_default,47,stor,105620,35668,1905,111659
full_global_p4_64mib_background_off,grade_default,47,netaware,0,0,0,0
full_global_p4_64mib_background_off,grade_equal,13,stor,106371,37761,1727,98181
full_global_p4_64mib_background_off,grade_equal,13,netaware,0,0,0,0
full_global_p4_64mib_background_off,grade_equal,29,stor,107859,38524,1929,108165
full_global_p4_64mib_background_off,grade_equal,29,netaware,0,0,0,0
full_global_p4_64mib_background_off,grade_equal,47,stor,111010,39774,1844,109189
